Date,Channel,CampaignType,CampaignName,Cost,Impressions,Clicks,Conversions,Revenue
2025-07-15,Meta Ads,Retargeting,FB_Retargeting_Catalog,159.58,13267,199,9,731.68
2025-07-15,Microsoft Ads,Search,MS_Search_Brand,47.47,1975,79,3,222.89
2025-07-15,Microsoft Ads,Shopping,MS_Shopping_Feed,84.29,9333,140,2,184.79
2025-07-16,Google Ads,Search,GG_Search_Brand,122.56,2550,102,6,442.66
2025-07-16,Google Ads,Search,GG_Search_Generic,412.68,8600,344,12,923.19
2025-07-16,Google Ads,PMax,GG_PMax_Performance,825.27,34400,688,38,3076.72
2025-07-16,Google Ads,Shopping,GG_Shopping_Top_Products,446.04,24800,372,20,1580.55
2025-07-16,Meta Ads,Prospecting,FB_Prospecting_Broad,538.77,44867,673,18,1415.25
2025-07-16,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,415.04,34600,519,18,1422.22
2025-07-16,Meta Ads,Retargeting,FB_Retargeting_Catalog,173.61,14467,217,11,868.35
2025-07-16,Microsoft Ads,Search,MS_Search_Brand,39.25,1625,65,2,156.14
2025-07-16,Microsoft Ads,Shopping,MS_Shopping_Feed,77.35,8600,129,2,158.1
2025-07-17,Google Ads,Search,GG_Search_Brand,135.89,2825,113,7,545.05
2025-07-17,Google Ads,Search,GG_Search_Generic,345.7,7200,288,8,663.89
2025-07-17,Google Ads,PMax,GG_PMax_Performance,603.52,25150,503,21,1703.73
2025-07-17,Google Ads,Shopping,GG_Shopping_Top_Products,383.05,21267,319,15,1190.89
2025-07-17,Meta Ads,Prospecting,FB_Prospecting_Broad,571.21,47600,714,20,1598.52
2025-07-17,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,401.13,33400,501,17,1345.41
2025-07-17,Meta Ads,Retargeting,FB_Retargeting_Catalog,182.74,15200,228,12,967.36
2025-07-17,Microsoft Ads,Search,MS_Search_Brand,50.58,2100,84,3,256.47
2025-07-17,Microsoft Ads,Shopping,MS_Shopping_Feed,98.81,11000,165,3,255.44
2025-07-18,Google Ads,Search,GG_Search_Brand,112.06,2325,93,5,384.02
2025-07-18,Google Ads,Search,GG_Search_Generic,338.62,7050,282,8,651.38
2025-07-18,Google Ads,PMax,GG_PMax_Performance,593.31,24700,494,21,1683.08
2025-07-18,Google Ads,Shopping,GG_Shopping_Top_Products,396.2,22000,330,16,1297.45
2025-07-18,Meta Ads,Prospecting,FB_Prospecting_Broad,487.61,40667,610,15,1204.39
2025-07-18,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,304.62,25400,381,10,809.69
2025-07-18,Meta Ads,Retargeting,FB_Retargeting_Catalog,142.39,11867,178,8,611.11
2025-07-18,Microsoft Ads,Search,MS_Search_Brand,39.24,1625,65,2,160.84
2025-07-18,Microsoft Ads,Shopping,MS_Shopping_Feed,94.77,10533,158,3,240.73
2025-07-19,Google Ads,Search,GG_Search_Brand,117.99,2450,98,5,439.25
2025-07-19,Google Ads,Search,GG_Search_Generic,299.82,6250,250,7,533.67
2025-07-19,Google Ads,PMax,GG_PMax_Performance,572.2,23850,477,20,1625.29
2025-07-19,Google Ads,Shopping,GG_Shopping_Top_Products,371.09,20600,309,15,1184.38
2025-07-19,Meta Ads,Prospecting,FB_Prospecting_Broad,445.65,37133,557,13,1048.75
2025-07-19,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,294.08,24533,368,10,783.48
2025-07-19,Meta Ads,Retargeting,FB_Retargeting_Catalog,130.17,10867,163,7,532.12
2025-07-19,Microsoft Ads,Search,MS_Search_Brand,41.22,1725,69,2,183.13
2025-07-19,Microsoft Ads,Shopping,MS_Shopping_Feed,81.05,9000,135,2,184.66
2025-07-20,Google Ads,Search,GG_Search_Brand,151.53,3150,126,8,665.08
2025-07-20,Google Ads,Search,GG_Search_Generic,320.01,6675,267,7,566.81
2025-07-20,Google Ads,PMax,GG_PMax_Performance,732.9,30550,611,31,2451.15
2025-07-20,Google Ads,Shopping,GG_Shopping_Top_Products,414.23,23000,345,17,1371.14
2025-07-20,Meta Ads,Prospecting,FB_Prospecting_Broad,541.12,45067,676,18,1427.09
2025-07-20,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,308.04,25667,385,10,802.59
2025-07-20,Meta Ads,Retargeting,FB_Retargeting_Catalog,204.66,17067,256,15,1190.18
2025-07-20,Microsoft Ads,Search,MS_Search_Brand,49.38,2050,82,3,242.66
2025-07-20,Microsoft Ads,Shopping,MS_Shopping_Feed,90.63,10067,151,3,214.36
2025-07-21,Google Ads,Search,GG_Search_Brand,137.45,2875,115,7,541.85
2025-07-21,Google Ads,Search,GG_Search_Generic,348.47,7250,290,8,655.68
2025-07-21,Google Ads,PMax,GG_PMax_Performance,817.91,34100,682,37,2970.15
2025-07-21,Google Ads,Shopping,GG_Shopping_Top_Products,419.87,23333,350,17,1381.99
2025-07-21,Meta Ads,Prospecting,FB_Prospecting_Broad,528.88,44067,661,17,1341.3
2025-07-21,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,346.51,28867,433,12,988.38
2025-07-21,Meta Ads,Retargeting,FB_Retargeting_Catalog,172.35,14333,215,11,840.86
2025-07-21,Microsoft Ads,Search,MS_Search_Brand,45.5,1900,76,3,203.73
2025-07-21,Microsoft Ads,Shopping,MS_Shopping_Feed,108.49,12067,181,4,297.01
2025-07-22,Google Ads,Search,GG_Search_Brand,148.76,3100,124,8,636.09
2025-07-22,Google Ads,Search,GG_Search_Generic,381.91,7950,318,10,788.64
2025-07-22,Google Ads,PMax,GG_PMax_Performance,802.5,33450,669,36,2889.52
2025-07-22,Google Ads,Shopping,GG_Shopping_Top_Products,521.59,29000,435,26,2113.18
2025-07-22,Meta Ads,Prospecting,FB_Prospecting_Broad,475.58,39600,594,14,1103.29
2025-07-22,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,323.18,26933,404,11,872.14
2025-07-22,Meta Ads,Retargeting,FB_Retargeting_Catalog,161.3,13467,202,9,746.94
2025-07-22,Microsoft Ads,Search,MS_Search_Brand,49.01,2050,82,3,236.96
2025-07-22,Microsoft Ads,Shopping,MS_Shopping_Feed,84.44,9400,141,2,185.41
2025-07-23,Google Ads,Search,GG_Search_Brand,146.24,3050,122,8,621.38
2025-07-23,Google Ads,Search,GG_Search_Generic,409.21,8525,341,11,908.42
2025-07-23,Google Ads,PMax,GG_PMax_Performance,725.3,30200,604,30,2402.62
2025-07-23,Google Ads,Shopping,GG_Shopping_Top_Products,472.58,26267,394,22,1765.79
2025-07-23,Meta Ads,Prospecting,FB_Prospecting_Broad,527.12,43933,659,17,1357.1
2025-07-23,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,413.99,34467,517,18,1415.32
2025-07-23,Meta Ads,Retargeting,FB_Retargeting_Catalog,155.61,13000,195,9,703.5
2025-07-23,Microsoft Ads,Search,MS_Search_Brand,46.51,1950,78,3,216.33
2025-07-23,Microsoft Ads,Shopping,MS_Shopping_Feed,94.3,10467,157,3,231.34
2025-07-24,Google Ads,Search,GG_Search_Brand,125.52,2625,105,6,468.0
2025-07-24,Google Ads,Search,GG_Search_Generic,320.04,6675,267,7,572.41
2025-07-24,Google Ads,PMax,GG_PMax_Performance,745.8,31100,622,32,2559.19
2025-07-24,Google Ads,Shopping,GG_Shopping_Top_Products,435.59,24200,363,19,1524.87
2025-07-24,Meta Ads,Prospecting,FB_Prospecting_Broad,528.87,44067,661,17,1379.04
2025-07-24,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,332.67,27733,416,12,939.68
2025-07-24,Meta Ads,Retargeting,FB_Retargeting_Catalog,160.93,13400,201,9,757.79
2025-07-24,Microsoft Ads,Search,MS_Search_Brand,41.12,1725,69,2,172.45
2025-07-24,Microsoft Ads,Shopping,MS_Shopping_Feed,92.05,10200,153,3,223.0
2025-07-25,Google Ads,Search,GG_Search_Brand,112.18,2325,93,5,384.87
2025-07-25,Google Ads,Search,GG_Search_Generic,324.41,6750,270,7,599.83
2025-07-25,Google Ads,PMax,GG_PMax_Performance,654.84,27300,546,25,2035.24
2025-07-25,Google Ads,Shopping,GG_Shopping_Top_Products,354.46,19667,295,13,1046.86
2025-07-25,Meta Ads,Prospecting,FB_Prospecting_Broad,518.75,43200,648,17,1356.55
2025-07-25,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,332.11,27667,415,12,956.23
2025-07-25,Meta Ads,Retargeting,FB_Retargeting_Catalog,183.9,15333,230,12,999.62
2025-07-25,Microsoft Ads,Search,MS_Search_Brand,45.87,1900,76,3,217.13
2025-07-25,Microsoft Ads,Shopping,MS_Shopping_Feed,89.13,9933,149,3,214.03
2025-07-26,Google Ads,Search,GG_Search_Brand,107.58,2250,90,5,367.61
2025-07-26,Google Ads,Search,GG_Search_Generic,283.15,5900,236,6,477.94
2025-07-26,Google Ads,PMax,GG_PMax_Performance,573.99,23900,478,20,1635.08
2025-07-26,Google Ads,Shopping,GG_Shopping_Top_Products,419.03,23267,349,19,1496.45
2025-07-26,Meta Ads,Prospecting,FB_Prospecting_Broad,487.21,40600,609,16,1245.26
2025-07-26,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,347.22,28933,434,13,1078.58
2025-07-26,Meta Ads,Retargeting,FB_Retargeting_Catalog,129.49,10800,162,7,526.74
2025-07-26,Microsoft Ads,Search,MS_Search_Brand,36.97,1550,62,2,148.49
2025-07-26,Microsoft Ads,Shopping,MS_Shopping_Feed,81.28,9000,135,2,185.65
2025-07-27,Google Ads,Search,GG_Search_Brand,139.96,2925,117,7,571.2
2025-07-27,Google Ads,Search,GG_Search_Generic,357.97,7450,298,9,703.06
2025-07-27,Google Ads,PMax,GG_PMax_Performance,801.89,33400,668,36,2912.19
2025-07-27,Google Ads,Shopping,GG_Shopping_Top_Products,387.9,21533,323,15,1208.35
2025-07-27,Meta Ads,Prospecting,FB_Prospecting_Broad,605.55,50467,757,22,1770.36
2025-07-27,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,406.77,33867,508,17,1368.53
2025-07-27,Meta Ads,Retargeting,FB_Retargeting_Catalog,153.81,12800,192,9,687.86
2025-07-27,Microsoft Ads,Search,MS_Search_Brand,46.97,1950,78,3,220.41
2025-07-27,Microsoft Ads,Shopping,MS_Shopping_Feed,87.69,9733,146,3,201.22
2025-07-28,Google Ads,Search,GG_Search_Brand,129.28,2700,108,6,481.74
2025-07-28,Google Ads,Search,GG_Search_Generic,429.88,8950,358,12,980.21
2025-07-28,Google Ads,PMax,GG_PMax_Performance,857.13,35700,714,41,3248.29
2025-07-28,Google Ads,Shopping,GG_Shopping_Top_Products,471.33,26200,393,22,1725.33
2025-07-28,Meta Ads,Prospecting,FB_Prospecting_Broad,500.05,41667,625,15,1204.37
2025-07-28,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,433.26,36133,542,19,1516.14
2025-07-28,Meta Ads,Retargeting,FB_Retargeting_Catalog,174.25,14533,218,11,858.77
2025-07-28,Microsoft Ads,Search,MS_Search_Brand,51.01,2125,85,3,253.54
2025-07-28,Microsoft Ads,Shopping,MS_Shopping_Feed,103.73,11533,173,3,272.66
2025-07-29,Google Ads,Search,GG_Search_Brand,155.85,3250,130,9,695.32
2025-07-29,Google Ads,Search,GG_Search_Generic,317.99,6625,265,7,554.78
2025-07-29,Google Ads,PMax,GG_PMax_Performance,726.58,30250,605,30,2388.59
2025-07-29,Google Ads,Shopping,GG_Shopping_Top_Products,404.59,22467,337,16,1298.35
2025-07-29,Meta Ads,Prospecting,FB_Prospecting_Broad,489.96,40800,612,15,1168.39
2025-07-29,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,415.91,34667,520,18,1414.79
2025-07-29,Meta Ads,Retargeting,FB_Retargeting_Catalog,163.9,13667,205,10,770.26
2025-07-29,Microsoft Ads,Search,MS_Search_Brand,48.3,2000,80,3,230.4
2025-07-29,Microsoft Ads,Shopping,MS_Shopping_Feed,100.23,11133,167,3,257.57
2025-07-30,Google Ads,Search,GG_Search_Brand,134.99,2800,112,7,532.94
2025-07-30,Google Ads,Search,GG_Search_Generic,348.15,7250,290,8,666.48
2025-07-30,Google Ads,PMax,GG_PMax_Performance,767.9,32000,640,34,2680.41
2025-07-30,Google Ads,Shopping,GG_Shopping_Top_Products,385.42,21400,321,15,1193.52
2025-07-30,Meta Ads,Prospecting,FB_Prospecting_Broad,529.1,44067,661,17,1366.88
2025-07-30,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,384.95,32067,481,15,1231.44
2025-07-30,Meta Ads,Retargeting,FB_Retargeting_Catalog,200.52,16733,251,14,1144.54
2025-07-30,Microsoft Ads,Search,MS_Search_Brand,49.55,2075,83,3,244.2
2025-07-30,Microsoft Ads,Shopping,MS_Shopping_Feed,96.2,10667,160,3,240.36
2025-07-31,Google Ads,Search,GG_Search_Brand,136.94,2850,114,7,553.18
2025-07-31,Google Ads,Search,GG_Search_Generic,310.97,6475,259,7,541.6
2025-07-31,Google Ads,PMax,GG_PMax_Performance,628.34,26200,524,23,1841.24
2025-07-31,Google Ads,Shopping,GG_Shopping_Top_Products,432.3,24000,360,19,1502.83
2025-07-31,Meta Ads,Prospecting,FB_Prospecting_Broad,587.17,48933,734,21,1685.15
2025-07-31,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,320.44,26733,401,11,874.33
2025-07-31,Meta Ads,Retargeting,FB_Retargeting_Catalog,157.57,13133,197,9,727.63
2025-07-31,Microsoft Ads,Search,MS_Search_Brand,44.81,1875,75,3,203.4
2025-07-31,Microsoft Ads,Shopping,MS_Shopping_Feed,92.58,10267,154,3,225.48
2025-08-01,Google Ads,Search,GG_Search_Brand,126.12,2625,105,6,476.48
2025-08-01,Google Ads,Search,GG_Search_Generic,352.5,7350,294,9,695.3
2025-08-01,Google Ads,PMax,GG_PMax_Performance,681.08,28400,568,27,2169.03
2025-08-01,Google Ads,Shopping,GG_Shopping_Top_Products,481.48,26733,401,23,1864.25
2025-08-01,Meta Ads,Prospecting,FB_Prospecting_Broad,556.67,46400,696,19,1534.89
2025-08-01,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,382.35,31867,478,15,1238.27
2025-08-01,Meta Ads,Retargeting,FB_Retargeting_Catalog,187.62,15667,235,13,1026.55
2025-08-01,Microsoft Ads,Search,MS_Search_Brand,45.7,1900,76,3,213.08
2025-08-01,Microsoft Ads,Shopping,MS_Shopping_Feed,95.92,10667,160,3,243.47
2025-08-02,Google Ads,Search,GG_Search_Brand,107.81,2250,90,5,364.94
2025-08-02,Google Ads,Search,GG_Search_Generic,315.65,6575,263,7,582.56
2025-08-02,Google Ads,PMax,GG_PMax_Performance,554.61,23100,462,19,1512.74
2025-08-02,Google Ads,Shopping,GG_Shopping_Top_Products,356.24,19800,297,14,1082.14
2025-08-02,Meta Ads,Prospecting,FB_Prospecting_Broad,492.15,41000,615,16,1255.14
2025-08-02,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,329.95,27467,412,12,966.72
2025-08-02,Meta Ads,Retargeting,FB_Retargeting_Catalog,145.44,12133,182,8,651.76
2025-08-02,Microsoft Ads,Search,MS_Search_Brand,40.39,1675,67,2,174.09
2025-08-02,Microsoft Ads,Shopping,MS_Shopping_Feed,82.62,9200,138,2,189.38
2025-08-03,Google Ads,Search,GG_Search_Brand,138.31,2875,115,7,551.69
2025-08-03,Google Ads,Search,GG_Search_Generic,410.57,8550,342,11,903.25
2025-08-03,Google Ads,PMax,GG_PMax_Performance,763.5,31800,636,33,2619.28
2025-08-03,Google Ads,Shopping,GG_Shopping_Top_Products,503.18,27933,419,25,1967.34
2025-08-03,Meta Ads,Prospecting,FB_Prospecting_Broad,569.63,47467,712,19,1555.85
2025-08-03,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,388.65,32400,486,15,1239.2
2025-08-03,Meta Ads,Retargeting,FB_Retargeting_Catalog,207.86,17333,260,15,1211.36
2025-08-03,Microsoft Ads,Search,MS_Search_Brand,51.88,2150,86,3,263.42
2025-08-03,Microsoft Ads,Shopping,MS_Shopping_Feed,100.11,11133,167,3,256.29
2025-08-04,Google Ads,Search,GG_Search_Brand,126.47,2625,105,6,456.28
2025-08-04,Google Ads,Search,GG_Search_Generic,367.45,7650,306,9,717.18
2025-08-04,Google Ads,PMax,GG_PMax_Performance,807.75,33650,673,36,2865.05
2025-08-04,Google Ads,Shopping,GG_Shopping_Top_Products,501.49,27867,418,24,1919.49
2025-08-04,Meta Ads,Prospecting,FB_Prospecting_Broad,671.99,56000,840,26,2095.51
2025-08-04,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,340.53,28400,426,12,944.35
2025-08-04,Meta Ads,Retargeting,FB_Retargeting_Catalog,194.56,16200,243,13,1048.21
2025-08-04,Microsoft Ads,Search,MS_Search_Brand,45.33,1900,76,2,199.78
2025-08-04,Microsoft Ads,Shopping,MS_Shopping_Feed,87.59,9733,146,2,194.83
2025-08-05,Google Ads,Search,GG_Search_Brand,133.51,2775,111,6,510.79
2025-08-05,Google Ads,Search,GG_Search_Generic,397.47,8275,331,11,841.07
2025-08-05,Google Ads,PMax,GG_PMax_Performance,865.33,36050,721,41,3297.17
2025-08-05,Google Ads,Shopping,GG_Shopping_Top_Products,492.95,27400,411,23,1874.04
2025-08-05,Meta Ads,Prospecting,FB_Prospecting_Broad,643.88,53667,805,24,1948.64
2025-08-05,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,341.97,28467,427,12,960.55
2025-08-05,Meta Ads,Retargeting,FB_Retargeting_Catalog,209.87,17467,262,15,1222.37
2025-08-05,Microsoft Ads,Search,MS_Search_Brand,54.21,2250,90,4,283.85
2025-08-05,Microsoft Ads,Shopping,MS_Shopping_Feed,109.42,12133,182,4,300.96
2025-08-06,Google Ads,Search,GG_Search_Brand,132.82,2775,111,6,510.48
2025-08-06,Google Ads,Search,GG_Search_Generic,358.78,7475,299,9,697.65
2025-08-06,Google Ads,PMax,GG_PMax_Performance,737.52,30750,615,31,2451.17
2025-08-06,Google Ads,Shopping,GG_Shopping_Top_Products,489.28,27200,408,23,1864.67
2025-08-06,Meta Ads,Prospecting,FB_Prospecting_Broad,517.28,43133,647,16,1293.17
2025-08-06,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,391.17,32600,489,16,1254.62
2025-08-06,Meta Ads,Retargeting,FB_Retargeting_Catalog,167.95,14000,210,10,805.0
2025-08-06,Microsoft Ads,Search,MS_Search_Brand,49.14,2050,82,3,237.51
2025-08-06,Microsoft Ads,Shopping,MS_Shopping_Feed,83.29,9267,139,2,180.07
2025-08-07,Google Ads,Search,GG_Search_Brand,145.14,3025,121,8,611.01
2025-08-07,Google Ads,Search,GG_Search_Generic,324.34,6750,270,7,580.28
2025-08-07,Google Ads,PMax,GG_PMax_Performance,785.78,32750,655,35,2794.65
2025-08-07,Google Ads,Shopping,GG_Shopping_Top_Products,461.94,25667,385,21,1686.45
2025-08-07,Meta Ads,Prospecting,FB_Prospecting_Broad,533.95,44467,667,17,1387.76
2025-08-07,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,320.01,26667,400,11,861.66
2025-08-07,Meta Ads,Retargeting,FB_Retargeting_Catalog,205.34,17133,257,15,1195.01
2025-08-07,Microsoft Ads,Search,MS_Search_Brand,40.5,1675,67,2,165.44
2025-08-07,Microsoft Ads,Shopping,MS_Shopping_Feed,96.1,10667,160,3,239.31
2025-08-08,Google Ads,Search,GG_Search_Brand,143.05,2975,119,8,606.75
2025-08-08,Google Ads,Search,GG_Search_Generic,376.23,7850,314,10,787.87
2025-08-08,Google Ads,PMax,GG_PMax_Performance,623.1,25950,519,23,1827.84
2025-08-08,Google Ads,Shopping,GG_Shopping_Top_Products,474.07,26333,395,23,1809.67
2025-08-08,Meta Ads,Prospecting,FB_Prospecting_Broad,492.41,41067,616,15,1212.79
2025-08-08,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,353.72,29467,442,13,1066.57
2025-08-08,Meta Ads,Retargeting,FB_Retargeting_Catalog,148.89,12400,186,8,658.22
2025-08-08,Microsoft Ads,Search,MS_Search_Brand,43.44,1800,72,2,193.31
2025-08-08,Microsoft Ads,Shopping,MS_Shopping_Feed,79.0,8800,132,2,167.7
2025-08-09,Google Ads,Search,GG_Search_Brand,121.11,2525,101,6,456.63
2025-08-09,Google Ads,Search,GG_Search_Generic,276.54,5750,230,6,451.42
2025-08-09,Google Ads,PMax,GG_PMax_Performance,648.86,27050,541,26,2047.17
2025-08-09,Google Ads,Shopping,GG_Shopping_Top_Products,359.05,19933,299,14,1098.68
2025-08-09,Meta Ads,Prospecting,FB_Prospecting_Broad,435.45,36267,544,12,991.55
2025-08-09,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,324.5,27067,406,12,936.22
2025-08-09,Meta Ads,Retargeting,FB_Retargeting_Catalog,166.07,13867,208,11,841.4
2025-08-09,Microsoft Ads,Search,MS_Search_Brand,38.72,1625,65,2,160.51
2025-08-09,Microsoft Ads,Shopping,MS_Shopping_Feed,67.86,7533,113,2,129.61
2025-08-10,Google Ads,Search,GG_Search_Brand,147.48,3075,123,8,623.89
2025-08-10,Google Ads,Search,GG_Search_Generic,365.85,7625,305,9,724.27
2025-08-10,Google Ads,PMax,GG_PMax_Performance,636.38,26500,530,23,1846.31
2025-08-10,Google Ads,Shopping,GG_Shopping_Top_Products,406.0,22533,338,16,1303.45
2025-08-10,Meta Ads,Prospecting,FB_Prospecting_Broad,581.98,48467,727,20,1621.12
2025-08-10,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,376.73,31400,471,15,1167.41
2025-08-10,Meta Ads,Retargeting,FB_Retargeting_Catalog,196.5,16400,246,14,1087.89
2025-08-10,Microsoft Ads,Search,MS_Search_Brand,52.73,2200,88,3,271.76
2025-08-10,Microsoft Ads,Shopping,MS_Shopping_Feed,98.91,11000,165,3,250.44
2025-08-11,Google Ads,Search,GG_Search_Brand,146.88,3050,122,8,607.92
2025-08-11,Google Ads,Search,GG_Search_Generic,412.03,8575,343,11,893.03
2025-08-11,Google Ads,PMax,GG_PMax_Performance,690.85,28800,576,27,2123.22
2025-08-11,Google Ads,Shopping,GG_Shopping_Top_Products,537.71,29867,448,27,2193.24
2025-08-11,Meta Ads,Prospecting,FB_Prospecting_Broad,534.58,44533,668,17,1352.68
2025-08-11,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,370.05,30867,463,14,1107.72
2025-08-11,Meta Ads,Retargeting,FB_Retargeting_Catalog,202.98,16933,254,14,1136.67
2025-08-11,Microsoft Ads,Search,MS_Search_Brand,45.35,1900,76,2,199.97
2025-08-11,Microsoft Ads,Shopping,MS_Shopping_Feed,99.74,11067,166,3,249.86
2025-08-12,Google Ads,Search,GG_Search_Brand,149.88,3125,125,8,637.56
2025-08-12,Google Ads,Search,GG_Search_Generic,438.76,9150,366,13,1015.95
2025-08-12,Google Ads,PMax,GG_PMax_Performance,717.41,29900,598,29,2303.07
2025-08-12,Google Ads,Shopping,GG_Shopping_Top_Products,466.65,25933,389,21,1687.19
2025-08-12,Meta Ads,Prospecting,FB_Prospecting_Broad,626.15,52200,783,23,1847.4
2025-08-12,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,360.19,30000,450,13,1061.22
2025-08-12,Meta Ads,Retargeting,FB_Retargeting_Catalog,208.76,17400,261,15,1210.06
2025-08-12,Microsoft Ads,Search,MS_Search_Brand,44.57,1850,74,2,195.18
2025-08-12,Microsoft Ads,Shopping,MS_Shopping_Feed,107.23,11933,179,4,289.57
2025-08-13,Google Ads,Search,GG_Search_Brand,135.96,2825,113,7,533.85
2025-08-13,Google Ads,Search,GG_Search_Generic,332.43,6925,277,8,602.58
2025-08-13,Google Ads,PMax,GG_PMax_Performance,738.93,30800,616,31,2460.12
2025-08-13,Google Ads,Shopping,GG_Shopping_Top_Products,405.79,22533,338,16,1302.1
2025-08-13,Meta Ads,Prospecting,FB_Prospecting_Broad,504.1,42000,630,15,1230.6
2025-08-13,Meta Ads,Prospecting,FB_Prospecting_Lookalikes,386.73,32200,483,15,1227.52
2025-08-13,Meta Ads,Retargeting,FB_Retargeting_Catalog,188.46,15733,236,13,1004.2
2025-08-13,Microsoft Ads,Search,MS_Search_Brand,45.1,1875,75,3,201.48
2025-08-13,Microsoft Ads,Shopping,MS_Shopping_Feed,93.81,10400,156,3,226.28
2025-08-14,Google Ads,Search,GG_Search_Brand,140.56,2925,117,7,574.6
2025-08-14,Google Ads,Search,GG_Search_Generic,335.21,6975,279,8,618.28
2025-08-14,Google Ads,PMax,GG_PMax_Performance,654.62,27300,546,25,1968.51
2025-08-14,Google Ads,Shopping,GG_Shopping_Top_Products,445.03,24733,371,20,1569.98
